GSSCode,diversity2011
E01000368,0.9
E01000369,0.884
E01000370,0.675
E01000371,0.761
E01000372,0.909
E01000373,0.873
E01000374,0.785
E01000375,0.922
E01000376,0.992
E01000377,0.946
E01000379,0.749
E01000380,0.744
E01000381,0.642
E01000382,1.099
E01000383,1.289
E01000384,0.961
E01000385,0.775
E01000386,0.822
E01000387,0.567
E01000388,0.816
E01000389,0.744
E01000390,0.648
E01000391,0.614
E01000392,0.698
E01000393,0.617
E01000394,0.552
E01000395,0.888
E01000396,1.075
E01000398,0.693
E01000399,0.971
E01000400,0.823
E01000401,0.988
E01000402,0.759
E01000403,1.174
E01000404,0.919
E01000405,0.832
E01000406,0.808
E01000407,0.91
E01000408,0.905
E01000409,0.994
E01000410,1.038
E01000411,0.99
E01000412,1.098
E01000413,1.179
E01000414,1.308
E01000415,1.269
E01000416,1.295
E01000417,1.056
E01000418,1.402
E01000419,0.624
E01000420,0.773
E01000421,0.878
E01000422,0.881
E01000423,0.826
E01000424,1.213
E01000425,0.983
E01000426,1.403
E01000427,1.132
E01000428,1.368
E01000429,0.892
E01000430,0.854
E01000431,0.793
E01000433,1.407
E01000434,0.622
E01000435,0.594
E01000436,0.535
E01000437,0.623
E01000438,0.628
E01000439,0.97
E01000440,1.21
E01000441,1.246
E01000442,1.212
E01000443,1.138
E01000444,1.144
E01000445,0.962
E01000446,1.047
E01000447,0.782
E01000448,0.817
E01000449,0.916
E01000450,0.934
E01000451,0.9
E01000452,0.916
E01000453,0.869
E01000454,0.532
E01000455,0.83
E01000456,0.631
E01000457,0.495
E01000458,0.647
E01000459,0.497
E01000460,0.573
E01000461,0.997
E01000462,0.944
E01000463,1.023
E01000464,0.896
E01000465,0.965
E01000466,1.018
E01000467,0.907
E01000468,0.814
E01000469,0.647
E01000470,0.694
E01000471,0.624
E01000472,0.73
E01000473,0.722
E01000474,0.668
E01000475,1.35
E01000476,1.305
E01000477,1.386
E01000478,1.39
E01000479,1.322
E01000480,1.346
E01000481,1.376
E01000483,1.345
E01000484,1.374
E01000485,1.056
E01000486,1.154
E01000487,1.291
E01000488,1.221
E01000489,1.381
E01000490,1.21
E01000491,1.46
E01000492,1.457
E01000493,1.494
E01000494,1.493
E01000495,1.529
E01000497,1.508
E01000498,1.445
E01000499,1.45
E01000501,1.45
E01000502,1.546
E01000503,1.532
E01000504,1.394
E01000505,1.514
E01000506,1.43
E01000507,1.461
E01000508,1.509
E01000509,1.447
E01000510,1.513
E01000511,1.436
E01000512,1.543
E01000513,1.552
E01000514,1.516
E01000515,1.513
E01000516,1.465
E01000517,1.524
E01000518,1.524
E01000519,1.524
E01000520,1.467
E01000521,1.478
E01000522,1.545
E01000523,1.538
E01000524,1.4
E01000525,1.42
E01000526,1.462
E01000527,1.507
E01000528,1.438
E01000530,1.285
E01000531,1.465
E01000532,1.498
E01000533,1.491
E01000534,1.518
E01000535,1.47
E01000536,1.508
E01000538,1.49
E01000539,1.487
E01000540,1.44
E01000541,1.495
E01000543,1.375
E01000544,1.465
E01000545,1.503
E01000546,1.481
E01000547,1.487
E01000548,1.505
E01000549,1.488
E01000550,1.29
E01000551,1.288
E01000552,1.292
E01000553,1.288
E01000554,1.254
E01000555,1.278
E01000556,1.525
E01000557,1.421
E01000558,1.378
E01000559,1.413
E01000560,1.441
E01000561,1.362
E01000562,1.513
E01000563,1.481
E01000564,1.441
E01000565,1.501
E01000566,1.481
E01000567,1.47
E01000568,1.524
E01000569,1.493
E01000570,1.422
E01000571,1.444
E01000572,1.247
E01000573,1.49
E01000574,1.313
E01000575,1.34
E01000576,1.417
E01000577,1.393
E01000578,1.382
E01000579,1.399
E01000580,1.371
E01000581,1.359
E01000582,1.398
E01000583,1.444
E01000584,1.371
E01000585,1.405
E01000586,1.424
E01000587,1.406
E01000589,1.388
E01000590,1.48
E01000591,1.485
E01000592,1.445
E01000593,1.255
E01000594,1.352
E01000595,1.233
E01000596,1.371
E01000599,1.473
E01000601,1.463
E01000602,1.525
E01000603,1.264
E01000604,1.476
E01000605,1.284
E01000606,1.354
E01000607,1.292
E01000608,1.396
E01000609,1.422
E01000610,1.25
