GSSCode,diversity2011
E01000574,1.235
E01000575,1.233
E01000577,1.407
E01000562,1.105
E01000563,1.141
E01000566,1.194
E01000568,1.135
E01000569,1.152
E01000479,1.321
E01000481,1.392
E01000482,1.416
E01000483,1.469
E01000625,1.355
E01000498,1.328
E01000622,1.291
E01000626,1.402
E01033464,1.333
E01000497,1.342
E01000499,1.441
E01000501,1.443
E01000502,1.344
E01000503,1.312
E01000570,1.255
E01000571,1.316
E01000576,1.225
E01000578,1.319
E01000564,1.251
E01000565,1.24
E01000607,1.085
E01000608,1.215
E01000613,1.26
E01000506,1.367
E01000509,1.34
E01000510,1.407
E01000511,1.4
E01000627,1.421
E01000628,1.403
E01000553,1.302
E01000554,1.245
E01000555,1.229
E01000556,1.346
E01000557,1.276
E01000558,1.148
E01000567,1.2
E01000606,1.251
E01000609,1.248
E01000611,1.142
E01000615,1.359
E01000617,1.224
E01000618,1.281
E01000619,1.277
E01033424,1.407
E01033457,1.246
E01000504,1.216
E01000505,1.378
E01000507,1.366
E01000512,1.119
E01000559,1.182
E01000610,1.153
E01000612,1.092
E01000631,0.907
E01000633,0.683
E01000634,1.134
E01000616,1.23
E01000620,1.184
E01000621,1.299
E01000635,1.224
E01000636,1.092
E01000596,1.374
E01000601,1.383
E01000602,1.363
E01000603,1.395
E01000604,1.315
E01000605,1.316
E01000488,1.395
E01000637,1.27
E01000639,1.192
E01000642,1.203
E01000644,1.302
E01000490,1.109
E01000494,1.291
E01000495,1.185
E01000560,0.928
E01000561,1.258
E01000638,1.352
E01000640,1.392
E01000641,1.37
E01000643,1.422
E01000508,1.316
E01000521,1.432
E01000522,1.302
E01000526,1.32
E01000527,1.354
E01000528,1.236
E01000471,1.164
E01000474,0.877
E01000476,0.983
E01000477,1.232
E01000630,1.196
E01000595,1.381
E01000599,1.222
E01000600,1.338
E01033456,1.215
E01000545,1.147
E01000546,1.088
E01000547,1.137
E01000548,1.178
E01000549,1.067
E01000472,1.169
E01000473,0.696
E01000475,1.082
E01000478,0.961
E01000632,0.702
E01000489,1.336
E01000491,1.299
E01000492,1.163
E01000493,1.211
E01000581,1.052
E01000523,1.358
E01000524,1.371
E01000525,1.324
E01000533,1.312
E01000535,1.27
E01033455,1.41
E01033485,1.409
E01000579,1.189
E01000580,0.938
E01000582,0.914
E01000583,1.079
E01000586,1.32
E01000530,1.226
E01000531,1.289
E01000532,1.254
E01000534,1.298
E01000584,1.243
E01000585,1.215
E01000544,1.418
E01000550,1.331
E01000551,1.369
E01000552,1.339
E01000779,0.723
E01000780,0.796
E01000781,0.699
E01000782,0.764
E01000783,0.698
E01000785,0.559
E01000689,0.612
E01000690,0.534
E01000691,0.508
E01000692,0.36
E01000784,0.518
E01000799,1.018
E01000802,1.004
E01000803,0.969
E01000804,0.861
E01000805,0.899
E01000740,1.182
E01000741,1.045
E01000742,1.011
E01000745,1.068
E01000746,0.937
E01000709,0.598
E01000710,0.684
E01000711,0.651
E01000714,0.653
E01000718,0.972
E01000645,0.536
E01000649,0.682
E01000694,0.529
E01000695,0.311
E01000696,0.394
E01000697,0.425
E01000674,0.702
E01000676,0.818
E01000820,0.625
E01000822,0.738
E01000823,0.493
E01000824,0.638
E01000825,0.635
E01000743,1.061
E01000744,1.063
E01000796,1.179
E01000798,1.107
E01000800,1.085
E01000806,1.143
E01000693,0.637
E01000698,0.671
E01000736,0.443
E01000737,0.566
E01000672,0.682
E01000673,0.651
E01000716,0.545
E01000717,0.556
E01000828,0.647
E01000712,0.691
E01000713,0.664
E01000715,0.546
E01000770,0.454
E01000772,0.532
E01000700,0.666
E01000702,0.706
E01000703,0.569
E01000706,0.709
E01000797,0.626
E01000729,0.653
E01000730,0.603
E01000735,0.534
E01000738,0.588
E01000739,0.635
E01000699,1.009
E01000701,0.855
E01000704,0.837
E01000705,1.048
E01000801,0.956
E01000646,0.64
E01000647,0.529
E01000648,0.618
E01000653,0.559
E01000678,0.651
E01000670,0.818
E01000675,0.833
E01000677,0.692
E01000762,0.648
E01000829,0.704
E01000719,0.665
E01000720,0.716
E01000721,0.764
E01000724,0.752
E01000728,0.566
E01000651,0.46
E01000668,0.571
E01000669,0.438
E01000671,0.656
E01000679,0.561
E01000826,0.524
E01000827,0.695
E01000830,0.602
E01000831,0.563
E01000833,0.496
E01000650,0.669
E01000652,0.447
E01000807,0.434
E01000809,0.303
E01000722,0.5
E01000725,0.433
E01000731,0.613
E01000732,0.509
E01000733,0.475
E01000769,0.627
E01000773,0.529
E01000775,0.742
E01000777,0.621
E01000778,0.67
E01000808,0.428
E01000810,0.362
E01000811,0.381
E01000813,0.42
E01000815,0.373
E01000661,0.763
E01000662,0.657
E01000663,0.552
E01000664,0.555
E01000763,0.372
E01000764,0.463
E01000766,0.346
E01000767,0.351
E01000834,0.416
E01000727,0.421
E01000734,0.506
E01000790,0.705
E01000812,0.464
E01000814,0.439
E01000723,0.24
E01000726,0.436
E01000787,0.396
E01000788,0.68
E01000791,0.434
E01000832,0.58
E01000835,0.458
E01000836,0.477
E01000837,0.61
E01000838,0.436
E01000839,0.406
E01000840,0.327
E01000841,0.413
E01000753,0.317
E01000754,0.445
E01000755,0.386
E01000757,0.255
E01000758,0.415
E01000786,0.338
E01000789,0.719
E01000792,0.643
E01000793,0.336
E01000795,0.406
E01000665,0.509
E01000666,0.29
E01000667,0.459
E01000756,0.479
E01000759,0.277
E01000760,0.324
E01000761,0.339
E01000765,0.328
E01000768,0.332
E01000681,0.429
E01000682,0.357
E01000683,0.608
E01000684,0.623
E01000794,0.36
E01000749,0.212
E01000750,0.411
E01000751,0.639
E01000752,0.262
E01000680,0.248
E01000685,0.365
E01000686,0.361
E01000687,0.312
E01000688,0.379
E01000654,0.244
E01000655,0.234
E01000656,0.31
E01000657,0.265
E01000659,0.178
E01000816,0.885
E01000818,0.714
E01000819,0.866
E01032562,0.863
E01032563,0.706
E01000707,0.408
E01000708,0.568
E01000771,0.698
E01000774,0.678
E01032568,0.695
E01000658,0.111
E01000747,0.296
E01000748,0.222
E01032570,0.195
E01000466,1.133
E01000467,1.135
E01000468,1.07
E01000469,1.075
E01000416,1.153
E01000418,1.078
E01000422,1.172
E01000464,1.066
E01000465,0.99
E01000470,1.103
E01000333,0.609
E01000335,1.079
E01000336,1.154
E01000337,0.849
E01000338,0.843
E01000403,0.844
E01000404,0.993
E01000405,0.943
E01000408,1.129
E01000332,0.826
E01000402,0.765
E01000406,0.976
E01000407,0.72
E01000334,0.757
E01000417,0.8
E01000419,0.579
E01000420,0.55
E01000442,0.563
E01000437,0.519
E01000438,0.605
E01000439,0.617
E01000440,0.583
E01000441,0.603
E01000373,0.968
E01000429,0.869
E01000430,0.909
E01000431,0.873
E01000432,0.801
E01000433,0.798
