GSSCode,year,diversity
E01000180,2021,1.149
E01000182,2011,1.31
E01000182,2021,0.864
E01000239,2011,1.01
E01000239,2021,1.334
E01000241,2011,0.974
E01000241,2021,1.108
E01000237,2011,0.955
E01000237,2021,0.988
E01000243,2011,1.244
E01000243,2021,1.065
E01000245,2011,0.842
E01000245,2021,1.311
E01000183,2011,0.677
E01000183,2021,1.008
E01000207,2011,0.78
E01000207,2021,0.956
E01000210,2011,0.76
E01000210,2021,0.958
E01000236,2011,1.124
E01000236,2021,0.812
E01000310,2011,0.824
E01000310,2021,1.273
E01000205,2011,1.063
E01000205,2021,1.009
E01000211,2011,0.955
E01000211,2021,1.282
E01000216,2011,1.273
E01000216,2021,1.012
E01000150,2011,1.134
E01000150,2021,1.369
E01000306,2011,1.256
E01000306,2021,1.15
E01000312,2011,0.995
E01000312,2021,1.274
E01000145,2011,0.938
E01000145,2021,1.06
E01000218,2011,0.903
E01000218,2021,0.889
E01000220,2011,1.088
E01000220,2021,0.948
E01000135,2011,1.093
E01000135,2021,1.118
E01000144,2011,0.881
E01000144,2021,1.21
E01000214,2011,1.386
E01000214,2021,0.99
E01000221,2011,1.254
E01000221,2021,1.53
E01000307,2011,1.266
E01000307,2021,1.367
E01000142,2011,1.396
E01000142,2021,1.334
E01000224,2011,1.066
E01000224,2021,1.439
E01000139,2011,1.272
E01000139,2021,1.083
E01000143,2011,1.069
E01000143,2021,1.376
E01033916,2011,1.219
E01033916,2021,1.352
E01033918,2011,0.999
E01033918,2021,1.397
E01033920,2011,1.274
E01033920,2021,1.237
E01033922,2011,1.312
E01033922,2021,1.353
E01033924,2011,1.381
E01033924,2021,1.443
E01000147,2011,1.056
E01000147,2021,1.202
E01000467,2011,1.128
E01000467,2021,1.191
E01000469,2011,1.021
E01000469,2021,1.195
E01000418,2011,1.03
E01000418,2021,1.213
E01000464,2011,1.302
E01000464,2021,1.099
E01000470,2011,1.234
E01000470,2021,1.184
E01000335,2011,1.208
E01000335,2021,1.225
E01000337,2011,1.405
E01000337,2021,1.11
E01000403,2011,1.29
E01000403,2021,1.091
E01000405,2011,1.178
E01000405,2021,1.164
E01000332,2011,1.235
E01000332,2021,1.058
E01000406,2011,1.407
E01000406,2021,1.197
E01000334,2011,1.141
E01000334,2021,1
E01000419,2011,1.135
E01000419,2021,0.942
E01000442,2011,1.321
E01000442,2021,0.883
E01000438,2011,1.416
E01000438,2021,0.851
E01000440,2011,1.355
E01000440,2021,0.845
E01000373,2011,1.291
E01000373,2021,1.161
E01000430,2011,1.333
E01000430,2021,1.12
E01000433,2011,1.441
E01000433,2021,1.052
E01033789,2011,1.344
E01033789,2021,1.284
E01000356,2011,1.255
E01000356,2021,0.915
E01000359,2011,1.225
E01000359,2021,0.859
E01000450,2011,1.251
E01000450,2021,0.949
E01000452,2011,1.085
E01000452,2021,0.998
E01000368,2011,1.26
E01000368,2021,0.907
E01000380,2011,1.34
E01000380,2021,0.673
E01000353,2011,1.4
E01000353,2021,0.678
E01000355,2011,1.403
E01000355,2021,0.585
E01000436,2011,1.245
E01000436,2021,0.742
E01000453,2011,1.346
E01000453,2021,0.959
E01000455,2011,1.148
E01000455,2021,0.96
E01000325,2011,1.251
E01000325,2021,0.61
E01000369,2011,1.142
E01000369,2021,0.712
E01000371,2011,1.224
E01000371,2021,0.624
E01000362,2011,1.277
E01000362,2021,0.871
E01000366,2011,1.246
E01000366,2021,0.866
E01000388,2011,1.378
E01000388,2021,0.97
E01000409,2011,1.119
E01000409,2021,0.804
E01000414,2011,1.153
E01000414,2021,1.076
E01000327,2011,0.907
E01000327,2021,0.751
E01000329,2011,1.134
E01000329,2021,0.857
E01000331,2011,1.184
E01000331,2021,0.835
E01000395,2011,1.224
E01000395,2021,0.886
E01000410,2011,1.374
