GSSCode,GSSCode,diversity2011,diversity2021,,GSSCode,diversity2011
E01000938,E01000099,1.505,1.258,,E01000938,1.505
E01000939,E01032580,1.428,1.276,,E01000939,1.428
E01000940,E01000248,1.452,0.704,,E01000940,1.452
E01000853,E01000249,1.407,0.791,,E01000853,1.407
E01000937,E01000250,1.417,1.094,,E01000937,1.417
E01000941,E01000254,1.469,0.724,,E01000941,1.469
E01000942,E01000292,1.343,0.959,,E01000942,1.343
E01000943,E01000293,1.356,1.016,,E01000943,1.356
E01000850,E01000167,1.343,1.01,,E01000850,1.343
E01000851,E01000246,1.35,0.858,,E01000851,1.35
E01000852,E01000247,1.343,0.894,,E01000852,1.343
E01000854,E01000251,1.496,1.192,,E01000854,1.496
E01000915,E01000252,1.427,0.893,,E01000915,1.427
E01000916,E01000166,1.39,1.073,,E01000916,1.39
E01000917,E01000168,1.462,1.076,,E01000917,1.462
E01000920,E01000169,1.303,0.921,,E01000920,1.303
E01000855,E01000172,1.237,0.907,,E01000855,1.237
E01000914,E01000285,1.298,1.169,,E01000914,1.298
E01000918,E01000287,1.381,1.113,,E01000918,1.381
E01000919,E01000288,1.426,1.13,,E01000919,1.426
E01000001,E01000289,0.915,1.301,,E01000001,0.915
E01000002,E01000291,0.739,1.23,,E01000002,0.739
E01000003,E01000294,1.097,1.046,,E01000003,1.097
E01000005,E01000267,1.468,1.006,,E01000005,1.468
E01032739,E01000268,1.069,1.245,,E01032739,1.069
E01032740,E01000269,0.961,0.957,,E01032740,0.961
E01001808,E01000270,1.081,1.137,,E01001808,1.081
E01001809,E01000170,1.338,1.144,,E01001809,1.338
E01001814,E01000171,1.407,1.192,,E01001814,1.407
E01001823,E01000173,1.422,1.093,,E01001823,1.422
E01001825,E01000174,1.018,1.05,,E01001825,1.018
E01001714,E01000175,1.501,1.005,,E01001714,1.501
E01001811,E01000228,1.519,1.229,,E01001811,1.519
E01001813,E01000253,1.541,1.007,,E01001813,1.541
E01033701,E01000279,1.538,0.874,,E01033701,1.538
E01001799,E01000280,1.202,1.026,,E01001799,1.202
E01001802,E01000286,1.378,1.122,,E01001802,1.378
E01001804,E01000290,1.273,1.02,,E01001804,1.273
E01001807,E01000271,1.42,1.064,,E01001807,1.42
E01001812,E01000272,1.32,1.023,,E01001812,1.32
E01001725,E01000273,1.433,1.204,,E01001725,1.433
E01001726,E01000281,1.523,1.194,,E01001726,1.523
E01001800,E01000282,1.426,1.063,,E01001800,1.426
E01001824,E01000115,1.461,1.085,,E01001824,1.461
E01001826,E01000116,1.421,1.142,,E01001826,1.421
E01001723,E01000119,1.434,1.157,,E01001723,1.434
E01001724,E01000120,1.395,1.206,,E01001724,1.395
E01001727,E01000122,1.414,1.176,,E01001727,1.414
E01001768,E01000117,1.455,0.939,,E01001768,1.455
E01001769,E01000118,1.484,1.122,,E01001769,1.484
E01001715,E01000121,1.31,1.268,,E01001715,1.31
E01001716,E01000123,1.461,1.194,,E01001716,1.461
E01001717,E01000124,1.459,1.231,,E01001717,1.459
E01001718,E01000265,1.207,1.097,,E01001718,1.207
E01001719,E01000266,1.496,0.983,,E01001719,1.496
E01001720,E01000274,1.204,1.133,,E01001720,1.204
E01001742,E01000320,1.473,1.139,,E01001742,1.473
E01001801,E01000322,1.276,1.106,,E01001801,1.276
E01001803,E01000275,1.21,1.177,,E01001803,1.21
E01001806,E01000277,1.375,1.299,,E01001806,1.375
E01001741,E01000283,1.267,1.011,,E01001741,1.267
E01001805,E01000284,1.319,1.169,,E01001805,1.319
E01001829,E01000321,1.151,0.991,,E01001829,1.151
E01001831,E01000195,1.402,1.26,,E01001831,1.402
E01001832,E01000229,1.458,1.245,,E01001832,1.458
E01001764,E01000230,1.511,0.998,,E01001764,1.511
E01001765,E01000231,1.491,1.394,,E01001765,1.491
E01001767,E01000232,1.488,1.213,,E01001767,1.488
E01001770,E01000233,1.516,1.175,,E01001770,1.516
E01033703,E01000186,1.483,0.959,,E01033703,1.483
E01033713,E01000187,1.495,1.077,,E01033713,1.495
E01001792,E01000188,1.497,1.133,,E01001792,1.497
E01001793,E01000189,1.466,1.436,,E01001793,1.466
E01001794,E01000190,1.449,1.199,,E01001794,1.449
E01001795,E01000191,1.44,1.086,,E01001795,1.44
E01001796,E01000158,1.51,1.15,,E01001796,1.51
E01001736,E01000159,1.352,1.117,,E01001736,1.352
E01001737,E01000160,1.32,1.197,,E01001737,1.32
E01001738,E01000161,1.256,1.233,,E01001738,1.256
E01001739,E01000162,1.186,1.248,,E01001739,1.186
E01001786,E01000324,1.377,1.125,,E01001786,1.377
E01001787,E01000256,1.46,1.187,,E01001787,1.46
E01001788,E01000258,1.457,1.055,,E01001788,1.457
E01001790,E01000263,1.401,0.838,,E01001790,1.401
E01001740,E01000264,1.529,1.266,,E01001740,1.529
E01001747,E01000255,1.426,1.333,,E01001747,1.426
E01001830,E01000257,1.491,1.35,,E01001830,1.491
E01001833,E01000261,1.471,0.992,,E01001833,1.471
E01001834,E01033911,1.436,1.223,,E01001834,1.436
E01001835,E01033912,1.388,1.353,,E01001835,1.388
E01001733,E01000192,1.447,1.127,,E01001733,1.447
E01001785,E01000193,1.466,1.181,,E01001785,1.466
E01001789,E01000194,1.453,1.308,,E01001789,1.453
E01001791,E01000226,1.512,1.385,,E01001791,1.512
E01001745,E01000227,1.471,1.153,,E01001745,1.471
E01001746,E01000299,1.503,1.298,,E01001746,1.503
E01001757,E01000300,1.444,1.124,,E01001757,1.444
E01001758,E01000302,1.52,1.24,,E01001758,1.52
E01001759,E01000317,1.482,1.186,,E01001759,1.482
E01001761,E01000318,1.464,1.297,,E01001761,1.464
E01001731,E01000323,1.485,1.243,,E01001731,1.485
E01001734,E01000276,1.44,1.163,,E01001734,1.44
E01001760,E01000278,1.497,1.144,,E01001760,1.497
E01001762,E01000301,1.387,1.176,,E01001762,1.387
E01001846,E01000303,1.438,1.204,,E01001846,1.438
E01001847,E01000304,1.479,1.164,,E01001847,1.479
E01001848,E01000130,1.383,1.367,,E01001848,1.383
E01001849,E01000132,1.499,1.417,,E01001849,1.499
E01001729,E01000133,1.46,1.35,,E01001729,1.46
E01001730,E01000234,1.526,1.104,,E01001730,1.526
E01001732,E01000235,1.472,1.345,,E01001732,1.472
E01001735,E01000156,1.413,0.976,,E01001735,1.413
E01001838,E01000157,1.497,0.966,,E01001838,1.497
E01001850,E01000163,1.439,1.225,,E01001850,1.439
E01001748,E01000164,1.427,1.275,,E01001748,1.427
E01001749,E01000165,1.273,1.345,,E01001749,1.273
E01001763,E01000315,1.41,1.344,,E01001763,1.41
E01001816,E01000197,1.361,1.097,,E01001816,1.361
E01001819,E01000295,1.318,1.101,,E01001819,1.318
E01001744,E01000296,1.405,1.132,,E01001744,1.405
E01001750,E01000298,1.443,1.113,,E01001750,1.443
E01001751,E01000127,0.974,1.372,,E01001751,0.974
E01001756,E01000128,1.212,1.322,,E01001756,1.212
E01033698,E01000129,1.519,1.385,,E01033698,1.519
E01033699,E01000131,1.474,1.342,,E01033699,1.474
E01033700,E01000134,1.438,1.405,,E01033700,1.438
E01033707,E01033913,1.482,1.448,,E01033707,1.482
E01001836,E01033914,1.37,1.422,,E01001836,1.37
E01001840,E01000198,1.465,1.146,,E01001840,1.465
E01001841,E01000199,1.206,1.017,,E01001841,1.206
E01001844,E01000204,1.38,1.077,,E01001844,1.38
E01001845,E01000259,1.446,1.314,,E01001845,1.446
E01001837,E01000260,1.166,1.323,,E01001837,1.166
E01001839,E01000126,1.434,1.492,,E01001839,1.434
E01001842,E01000151,1.503,1.464,,E01001842,1.503
E01001843,E01000152,1.45,1.455,,E01001843,1.45
E01033704,E01000153,1.334,1.411,,E01033704,1.334
E01033712,E01000154,1.412,1.464,,E01033712,1.412
E01001772,E01000176,1.486,1.177,,E01001772,1.486
E01001774,E01000178,1.453,0.958,,E01001774,1.453
E01001775,E01000184,1.528,1.366,,E01001775,1.528
E01001815,E01000297,1.473,1.201,,E01001815,1.473
E01001820,E01000316,1.443,1.283,,E01001820,1.443
E01001821,E01000319,1.481,1.12,,E01001821,1.481
E01001752,E01000196,1.403,1.193,,E01001752,1.403
E01001753,E01000200,1.486,1.076,,E01001753,1.486
E01001754,E01000201,1.456,1.121,,E01001754,1.456
E01001755,E01000202,1.507,1.032,,E01001755,1.507
E01001773,E01000203,1.511,1.28,,E01001773,1.511
E01001776,E01000177,1.492,0.819,,E01001776,1.492
E01001779,E01000179,1.516,0.967,,E01001779,1.516
E01001781,E01000180,1.48,1.149,,E01001781,1.48
E01001782,E01000181,1.398,0.905,,E01001782,1.398
E01001783,E01000182,1.508,0.864,,E01001783,1.508
E01001777,E01000185,1.463,1.424,,E01001777,1.463
E01001780,E01000239,1.501,1.334,,E01001780,1.501
E01001784,E01000240,1.49,1.264,,E01001784,1.49
E01033706,E01000241,1.292,1.108,,E01033706,1.292
E01033708,E01000309,1.203,1.324,,E01033708,1.203
E01033709,E01000237,1.464,0.988,,E01033709,1.464
E01033711,E01000242,1.41,1.075,,E01033711,1.41
E01001798,E01000243,1.538,1.065,,E01001798,1.538
E01001828,E01000244,1.486,1.233,,E01001828,1.486
E01033702,E01000245,1.535,1.311,,E01033702,1.535
E01033705,E01000314,1.504,1.241,,E01033705,1.504
E01033710,E01000183,1.492,1.008,,E01033710,1.492
E01001722,E01000206,1.506,1.008,,E01001722,1.506
E01001728,E01000207,1.455,0.956,,E01001728,1.455
E01001822,E01000208,1.535,1.071,,E01001822,1.535
E01001827,E01000210,1.471,0.958,,E01001827,1.471
E01001874,E01000213,1.471,0.821,,E01001874,1.471
E01001875,E01000236,1.509,0.812,,E01001875,1.509
E01001876,E01000238,1.572,0.992,,E01001876,1.572
E01001877,E01000310,1.528,1.273,,E01001877,1.528
