GSSCode,GSSCode,diversity2011,diversity2021,,GSSCode,diversity2011
E01003062,E01000931,1.32,1.384,,E01003062,1.32
E01003063,E01000932,1.416,1.167,,E01003063,1.416
E01003067,E01000974,1.312,1.302,,E01003067,1.312
E01003069,E01000843,1.354,0.875,,E01003069,1.354
E01003070,E01000845,1.421,0.947,,E01003070,1.421
E01003115,E01000846,1.411,1.309,,E01003115,1.411
E01003141,E01000847,1.461,1.33,,E01003141,1.461
E01003144,E01000867,1.379,1.263,,E01003144,1.379
E01003145,E01000868,1.434,1.394,,E01003145,1.434
E01003147,E01000869,1.472,1.069,,E01003147,1.472
E01003139,E01035707,1.484,0.94,,E01003139,1.484
E01003140,E01000962,1.475,0.925,,E01003140,1.475
E01003142,E01000964,1.517,1.055,,E01003142,1.517
E01003143,E01000965,1.449,1.18,,E01003143,1.449
E01003146,E01000966,1.44,0.896,,E01003146,1.44
E01003013,E01000968,1.384,1.041,,E01003013,1.384
E01003014,E01000960,1.314,1.215,,E01003014,1.314
E01003016,E01000961,1.464,1.384,,E01003016,1.464
E01003017,E01000963,1.307,1.255,,E01003017,1.307
E01032582,E01000967,1.436,1.071,,E01032582,1.436
E01003244,E01000857,1.402,0.953,,E01003244,1.402
E01003245,E01000858,1.478,1.351,,E01003245,1.478
E01003247,E01000859,1.424,0.694,,E01003247,1.424
E01003249,E01000860,1.475,0.907,,E01003249,1.475
E01003250,E01000862,1.447,0.89,,E01003250,1.447
E01003246,E01000856,1.458,1.286,,E01003246,1.458
E01003248,E01000861,1.479,1.108,,E01003248,1.479
E01003251,E01000957,1.469,1.181,,E01003251,1.469
E01003252,E01000958,1.433,1.328,,E01003252,1.433
E01003253,E01000959,1.449,1.35,,E01003253,1.449
E01003297,E01000929,1.434,1.467,,E01003297,1.434
E01003299,E01000930,1.467,1.424,,E01003299,1.467
E01003301,E01000933,1.487,1.152,,E01003301,1.487
E01003302,E01000934,1.432,1.379,,E01003302,1.432
E01003305,E01000935,1.426,1.387,,E01003305,1.426
E01003207,E01000863,1.448,1.129,,E01003207,1.448
E01003209,E01000946,1.476,1.303,,E01003209,1.476
E01003210,E01000947,1.342,1.169,,E01003210,1.342
E01003212,E01000948,1.403,1.081,,E01003212,1.403
E01003215,E01000952,1.479,1.317,,E01003215,1.479
E01003338,E01000954,1.448,1.445,,E01003338,1.448
E01003339,E01000955,1.465,1.386,,E01003339,1.465
E01003340,E01000956,1.316,1.358,,E01003340,1.316
E01003341,E01035708,1.304,1.371,,E01003341,1.304
E01003343,E01035709,1.41,1.387,,E01003343,1.41
E01003199,E01000944,1.152,1.37,,E01003199,1.152
E01003201,E01000949,1.385,1.31,,E01003201,1.385
E01003204,E01000951,1.337,1.375,,E01003204,1.337
E01003205,E01035710,1.449,1.382,,E01003205,1.449
E01003206,E01000850,1.246,1.13,,E01003206,1.246
E01003211,E01000851,1.316,1.146,,E01003211,1.316
E01003213,E01035711,1.328,1.236,,E01003213,1.328
E01003214,E01000915,1.414,1.282,,E01003214,1.414
E01033324,E01000916,1.404,1.244,,E01033324,1.404
E01033325,E01000917,1.296,1.368,,E01033325,1.296
E01003198,E01000920,1.136,1.136,,E01003198,1.136
E01003200,E01000855,0.923,1.105,,E01003200,0.923
E01003202,E01000914,0.917,1.174,,E01003202,0.917
E01003203,E01000918,1.366,1.198,,E01003203,1.366
E01003336,E01000919,1.389,1.21,,E01003336,1.389
E01003337,E01000938,1.377,1.323,,E01003337,1.377
E01003342,E01000939,1.455,1.314,,E01003342,1.455
E01003344,E01000942,1.468,1.231,,E01003344,1.468
E01003345,E01000941,1.466,1.37,,E01003345,1.466
E01003273,E01035712,1.518,1.331,,E01003273,1.518
E01003277,E01000943,1.346,1.169,,E01003277,1.346
E01003278,E01000937,1.473,1.282,,E01003278,1.473
E01003279,E01000853,1.348,1.309,,E01003279,1.348
E01003288,E01000001,1.479,0.72,,E01003288,1.479
E01003290,E01000002,1.452,0.752,,E01003290,1.452
E01003291,E01000003,1.457,0.916,,E01003291,1.457
E01003296,E01000005,1.479,1.409,,E01003296,1.479
E01033327,E01032739,1.483,0.959,,E01033327,1.483
E01033341,E01032740,1.538,0.9,,E01033341,1.538
E01003282,E01001137,1.465,1.115,,E01003282,1.465
E01003283,E01001138,1.012,1.05,,E01003283,1.012
E01003284,E01001156,1.348,1.203,,E01003284,1.348
E01003286,E01001162,1.371,1.259,,E01003286,1.371
E01003272,E01001164,1.393,1.037,,E01003272,1.393
E01003274,E01001084,1.439,1.281,,E01003274,1.439
E01003275,E01001157,1.474,1.4,,E01003275,1.474
E01003276,E01001159,1.467,1.358,,E01003276,1.467
E01003225,E01001160,1.358,1.361,,E01003225,1.358
E01003231,E01001163,1.449,1.16,,E01003231,1.449
E01003232,E01001083,1.456,1.323,,E01003232,1.456
E01003233,E01001086,1.415,1.381,,E01003233,1.415
E01003280,E01001087,1.446,1.414,,E01003280,1.446
E01003281,E01001161,1.315,1.452,,E01003281,1.315
E01003285,E01001085,1.309,1.407,,E01003285,1.309
E01003287,E01001088,1.156,1.419,,E01003287,1.156
E01003292,E01001089,1.438,1.449,,E01003292,1.438
E01003293,E01001090,1.44,1.405,,E01003293,1.44
E01003295,E01001091,1.441,1.394,,E01003295,1.441
E01033320,E01001147,1.461,1.336,,E01033320,1.461
E01033322,E01001148,1.44,1.292,,E01033322,1.44
E01003319,E01001151,1.507,1.39,,E01003319,1.507
E01003320,E01001152,1.423,1.401,,E01003320,1.423
E01003323,E01001158,1.449,1.164,,E01003323,1.449
E01003325,E01001146,1.468,1.313,,E01003325,1.468
E01003226,E01001149,1.335,1.217,,E01003226,1.335
E01003227,E01001150,1.305,1.289,,E01003227,1.305
E01003228,E01001153,1.234,1.375,,E01003228,1.234
E01003229,E01001154,1.417,1.37,,E01003229,1.417
E01003230,E01001136,1.404,1.338,,E01003230,1.404
E01003317,E01001139,1.463,1.27,,E01003317,1.463
E01003318,E01001140,1.455,1.15,,E01003318,1.455
E01003321,E01001142,1.426,1.223,,E01003321,1.426
E01003322,E01001144,1.465,1.281,,E01003322,1.465
E01003324,E01001141,1.411,1.32,,E01003324,1.411
E01003254,E01001143,1.186,1.273,,E01003254,1.186
E01003255,E01001145,1.349,1.336,,E01003255,1.349
E01003260,E01001191,1.418,1.302,,E01003260,1.418
E01003261,E01001192,1.31,1.286,,E01003261,1.31
E01003262,E01000994,1.364,1.46,,E01003262,1.364
E01003217,E01000995,1.469,1.393,,E01003217,1.469
E01003218,E01000996,1.439,1.396,,E01003218,1.439
E01003220,E01000997,1.469,1.422,,E01003220,1.469
E01003222,E01000999,1.411,1.332,,E01003222,1.411
E01003224,E01001002,1.452,1.335,,E01003224,1.452
E01003263,E01000998,1.402,1.329,,E01003263,1.402
E01003268,E01001000,1.404,1.423,,E01003268,1.404
E01003269,E01001003,1.386,1.396,,E01003269,1.386
E01003270,E01001111,1.393,1.302,,E01003270,1.393
E01003271,E01001155,1.305,1.39,,E01003271,1.305
E01003307,E01001174,1.388,1.277,,E01003307,1.388
E01003308,E01001175,1.434,1.415,,E01003308,1.434
E01003314,E01001176,1.385,1.389,,E01003314,1.385
E01003315,E01001182,1.405,1.394,,E01003315,1.405
E01003316,E01001183,1.36,1.366,,E01003316,1.36
E01003216,E01001184,1.477,1.36,,E01003216,1.477
E01003219,E01001001,1.457,1.372,,E01003219,1.457
E01003221,E01001109,1.467,1.38,,E01003221,1.467
E01003223,E01001112,1.468,1.27,,E01003223,1.468
E01003346,E01001113,1.411,1.307,,E01003346,1.411
E01003349,E01001114,1.403,1.359,,E01003349,1.403
E01003351,E01001116,1.375,1.406,,E01003351,1.375
E01003354,E01000992,1.433,1.34,,E01003354,1.433
E01003309,E01001185,1.415,1.244,,E01003309,1.415
E01003310,E01001186,1.42,1.284,,E01003310,1.42
E01003311,E01001188,1.381,1.339,,E01003311,1.381
E01003312,E01001193,1.396,1.279,,E01003312,1.396
E01003313,E01001004,1.439,1.41,,E01003313,1.439
E01003256,E01001115,1.425,1.415,,E01003256,1.425
E01003257,E01001178,1.336,1.446,,E01003257,1.336
E01003258,E01001181,1.437,1.36,,E01003258,1.437
E01003259,E01034139,1.316,1.392,,E01003259,1.316
E01003193,E01034140,1.341,1.426,,E01003193,1.341
E01003194,E01001006,1.438,1.467,,E01003194,1.438
E01003195,E01001007,1.41,1.284,,E01003195,1.41
E01003196,E01001177,1.446,1.39,,E01003196,1.446
E01003197,E01001179,1.427,1.343,,E01003197,1.427
E01003347,E01001180,1.467,1.436,,E01003347,1.467
E01003348,E01000980,1.449,1.355,,E01003348,1.449
E01003350,E01000981,1.476,1.203,,E01003350,1.476
E01003352,E01000982,1.443,1.294,,E01003352,1.443
E01003353,E01000983,1.455,1.237,,E01003353,1.455
E01003264,E01001187,1.374,1.366,,E01003264,1.374
E01003265,E01000989,1.393,1.163,,E01003265,1.393
E01003266,E01000991,1.354,1.156,,E01003266,1.354
E01003267,E01001131,1.34,0.929,,E01003267,1.34
E01003329,E01001132,1.371,1.152,,E01003329,1.371
E01003330,E01001134,1.404,1.122,,E01003330,1.404
E01003331,E01001005,1.406,1.355,,E01003331,1.406
E01003332,E01001008,1.403,1.392,,E01003332,1.403
E01003334,E01001009,1.419,1.381,,E01003334,1.419
E01003189,E01001010,1.422,1.412,,E01003189,1.422
E01003190,E01001011,1.465,1.431,,E01003190,1.465
E01003191,E01001012,1.402,1.443,,E01003191,1.402
E01003192,E01001013,1.388,1.412,,E01003192,1.388
E01003326,E01001110,1.369,1.411,,E01003326,1.369
E01003327,E01001118,1.384,1.373,,E01003327,1.384
E01003328,E01034141,1.376,1.384,,E01003328,1.376
E01003333,E01034142,1.403,1.429,,E01003333,1.403
E01003335,E01034143,1.425,1.451,,E01003335,1.425
E01003236,E01000985,1.425,1.214,,E01003236,1.425
E01003237,E01000986,1.385,1.262,,E01003237,1.385
E01003238,E01000987,1.361,1.113,,E01003238,1.361
E01003239,E01000993,1.433,1.236,,E01003239,1.433
E01032564,E01000975,1.42,1.3,,E01032564,1.42
E01003235,E01000976,1.369,1.286,,E01003235,1.369
E01003240,E01000977,1.378,1.311,,E01003240,1.378
E01003241,E01000978,1.451,1.327,,E01003241,1.451
E01003243,E01000979,1.411,1.305,,E01003243,1.411
E01032565,E01000984,1.429,1.393,,E01032565,1.429
E01003298,E01001044,1.421,1.273,,E01003298,1.421
E01003300,E01001046,1.417,1.319,,E01003300,1.417
E01003303,E01001049,1.47,1.234,,E01003303,1.47
E01003304,E01001050,1.504,1.348,,E01003304,1.504
E01032579,E01001042,1.475,1.369,,E01032579,1.475
E01003543,E01001165,1.51,1.354,,E01003543,1.51
E01003544,E01001166,1.501,1.33,,E01003544,1.501
E01003546,E01001168,1.412,1.232,,E01003546,1.412
E01003550,E01034144,1.476,1.395,,E01003550,1.476
E01003576,E01034145,1.38,1.445,,E01003576,1.38
E01003581,E01034146,1.287,1.414,,E01003581,1.287
E01003582,E01001127,1.392,1.118,,E01003582,1.392
E01003583,E01001128,1.339,1.246,,E01003583,1.339
E01003578,E01001130,1.359,1.353,,E01003578,1.359
E01003584,E01001135,1.402,1.116,,E01003584,1.402
E01003586,E01001062,1.279,1.086,,E01003586,1.279
E01003590,E01001063,1.451,1.081,,E01003590,1.451
E01003579,E01001064,1.205,1.163,,E01003579,1.205
E01003585,E01001129,1.149,1.047,,E01003585,1.149
E01003587,E01001133,1.345,0.948,,E01003587,1.345
E01003591,E01001167,1.354,1.411,,E01003591,1.354
E01003528,E01001169,1.317,1.347,,E01003528,1.317
E01003575,E01001171,1.325,1.371,,E01003575,1.325
E01003577,E01001172,1.451,1.34,,E01003577,1.451
E01003580,E01001173,1.426,1.35,,E01003580,1.426
E01003545,E01001036,1.466,1.14,,E01003545,1.466
E01003548,E01001037,1.509,1.186,,E01003548,1.509
E01003549,E01001038,1.497,1.17,,E01003549,1.497
E01003557,E01001039,1.427,1.016,,E01003557,1.427
E01003547,E01001040,1.491,1.187,,E01003547,1.491
E01003555,E01001051,1.287,1.154,,E01003555,1.287
E01003561,E01001052,1.119,1.241,,E01003561,1.119
E01003567,E01001054,1.21,1.139,,E01003567,1.21
E01003556,E01001056,1.42,1.213,,E01003556,1.42
E01003558,E01001057,1.307,1.21,,E01003558,1.307
E01003570,E01001033,1.24,1.219,,E01003570,1.24
E01003571,E01001034,1.113,1.078,,E01003571,1.113
E01003572,E01001041,1.202,1.332,,E01003572,1.202
E01003551,E01001095,1.506,1.255,,E01003551,1.506
E01003553,E01001100,1.5,1.135,,E01003553,1.5
E01003554,E01001053,1.491,1.12,,E01003554,1.491
E01003559,E01001055,1.51,1.04,,E01003559,1.51
E01003529,E01001077,1.018,0.95,,E01003529,1.018
E01003530,E01001078,1.061,1.03,,E01003530,1.061
E01003531,E01001082,1.111,1.029,,E01003531,1.111
E01003532,E01001120,1.068,1.005,,E01003532,1.068
E01003534,E01001122,1.134,1.118,,E01003534,1.134
E01003533,E01001123,1.16,1.045,,E01003533,1.16
E01003560,E01001124,1.125,0.82,,E01003560,1.125
E01003563,E01001125,1.196,1.169,,E01003563,1.196
E01003588,E01001058,1.109,0.977,,E01003588,1.109
E01003589,E01001059,1.245,0.965,,E01003589,1.245
E01003616,E01001060,1.511,0.991,,E01003616,1.511
E01003617,E01001061,1.493,1.136,,E01003617,1.493
E01003618,E01001065,1.491,0.906,,E01003618,1.491
E01003619,E01001066,1.499,1.314,,E01003619,1.499
E01003615,E01001119,1.5,0.699,,E01003615,1.5
E01033578,E01001126,1.506,0.902,,E01033578,1.506
E01033579,E01001032,1.491,0.994,,E01033579,1.491
E01033583,E01001101,1.499,0.778,,E01033583,1.499
E01033586,E01001102,1.513,0.838,,E01033586,1.513
E01003562,E01001107,1.095,1.076,,E01003562,1.095
E01003564,E01001108,1.137,0.936,,E01003564,1.137
E01003565,E01001076,1.081,1.096,,E01003565,1.081
E01003566,E01001079,1.174,0.995,,E01003566,1.174
E01003625,E01001080,1.305,1.029,,E01003625,1.305
E01003626,E01001081,1.13,0.954,,E01003626,1.13
E01003627,E01001073,1.153,1.172,,E01003627,1.153
E01003628,E01001092,1.164,1.219,,E01003628,1.164
E01003629,E01001093,1.137,1.231,,E01003629,1.137
E01003552,E01001096,1.441,1.111,,E01003552,1.441
E01003596,E01001097,1.408,1.247,,E01003596,1.408
E01003597,E01001098,1.341,0.939,,E01003597,1.341
E01003635,E01001028,1.48,1.196,,E01003635,1.48
E01003568,E01001029,1.115,1.224,,E01003568,1.115
E01003569,E01001030,1.092,1.209,,E01003569,1.092
E01003573,E01001031,1.117,1.032,,E01003573,1.117
E01003574,E01001094,1.234,1.198,,E01003574,1.234
E01003520,E01001103,1.14,0.882,,E01003520,1.14
E01003521,E01001105,1.17,0.947,,E01003521,1.17
E01003522,E01001106,1.185,0.992,,E01003522,1.185
E01003525,E01001121,1.216,0.806,,E01003525,1.216
E01003526,E01001069,1.277,1.032,,E01003526,1.277
E01003488,E01001070,1.439,1.158,,E01003488,1.439
E01003489,E01001075,1.342,1.005,,E01003489,1.342
E01003490,E01001099,1.275,1.085,,E01003490,1.275
E01003524,E01001015,1.265,1.061,,E01003524,1.265
E01003631,E01001016,1.541,1.07,,E01003631,1.541
E01003632,E01001023,1.513,1.247,,E01003632,1.513
E01003633,E01001067,1.471,1.075,,E01003633,1.471
E01003634,E01001074,1.476,1.211,,E01003634,1.476
E01003636,E01001068,1.506,0.978,,E01003636,1.506
E01003598,E01001071,1.467,0.897,,E01003598,1.467
E01003600,E01001072,1.466,0.824,,E01003600,1.466
E01003630,E01001104,1.49,0.966,,E01003630,1.49
E01003637,E01001017,1.461,0.711,,E01003637,1.461
E01003491,E01001024,1.183,0.947,,E01003491,1.183
E01003592,E01001025,1.417,0.852,,E01003592,1.417
E01003599,E01001026,1.355,0.836,,E01003599,1.355
E01003606,E01001027,1.438,1.163,,E01003606,1.438
E01003535,E01001018,1.485,0.584,,E01003535,1.485
E01003536,E01001019,1.474,0.767,,E01003536,1.474
E01003621,E01001020,1.328,0.731,,E01003621,1.328
E01003622,E01001021,1.326,1.008,,E01003622,1.326
E01003623,E01001022,1.38,0.666,,E01003623,1.38
E01003523,E01000990,1.357,1.305,,E01003523,1.357
E01003527,E01001189,1.452,1.298,,E01003527,1.452
E01003537,E01001190,1.442,1.299,,E01003537,1.442
E01003542,E01001194,1.49,1.194,,E01003542,1.49
E01003624,E01032569,1.445,1.378,,E01003624,1.445
E01003492,E01034147,1.315,1.37,,E01003492,1.315
E01003493,E01034148,1.35,1.383,,E01003493,1.35
E01003494,E01034149,1.429,1.275,,E01003494,1.429
E01003495,E01034150,1.459,1.363,,E01003495,1.459
E01003594,E01034151,1.473,1.337,,E01003594,1.473
E01003595,E01001047,1.483,1.262,,E01003595,1.483
E01003602,E01034152,1.452,1.37,,E01003602,1.452
E01003607,E01001035,1.497,1.289,,E01003607,1.497
E01003496,E01001170,1.497,1.316,,E01003496,1.497
E01003498,E01001269,1.489,1.271,,E01003498,1.489
E01003500,E01001271,1.468,1.344,,E01003500,1.468
E01003593,E01001309,1.478,1.273,,E01003593,1.478
E01003601,E01001310,1.482,1.336,,E01003601,1.482
E01003603,E01001311,1.472,1.449,,E01003603,1.472
E01003605,E01001307,1.389,1.251,,E01003605,1.389
E01003608,E01001308,1.512,1.259,,E01003608,1.512
E01003538,E01001312,1.473,1.292,,E01003538,1.473
E01003539,E01001313,1.489,1.271,,E01003539,1.489
E01003540,E01001314,1.48,1.37,,E01003540,1.48
E01003541,E01001315,1.493,1.345,,E01003541,1.493
E01003499,E01001316,1.497,1.404,,E01003499,1.497
E01003501,E01001317,1.487,1.421,,E01003501,1.487
E01003502,E01001318,1.453,1.397,,E01003502,1.453
E01003503,E01001320,1.455,1.411,,E01003503,1.455
E01003507,E01001321,1.489,1.376,,E01003507,1.489
E01003508,E01001270,1.489,1.374,,E01003508,1.489
E01003509,E01001319,1.431,1.366,,E01003509,1.431
E01003604,E01001322,1.494,1.357,,E01003604,1.494
E01003483,E01001323,1.464,1.401,,E01003483,1.464
E01003484,E01001341,1.486,1.34,,E01003484,1.486
E01003516,E01001342,1.485,1.31,,E01003516,1.485
E01003518,E01001343,1.476,1.299,,E01003518,1.476
E01003519,E01001345,1.478,1.261,,E01003519,1.478
E01003480,E01001265,1.476,1.307,,E01003480,1.476
E01003482,E01001266,1.498,1.343,,E01003482,1.498
E01003486,E01001267,1.467,1.375,,E01003486,1.467
E01003487,E01001272,1.467,1.32,,E01003487,1.467
E01003497,E01001349,1.464,1.425,,E01003497,1.464
E01003506,E01001344,1.491,1.357,,E01003506,1.491
E01033574,E01001346,1.488,1.31,,E01033574,1.488
E01033575,E01001347,1.458,1.38,,E01033575,1.458
E01033576,E01001348,1.518,1.367,,E01033576,1.518
E01033584,E01001257,1.474,1.443,,E01033584,1.474
E01033585,E01001324,1.49,1.408,,E01033585,1.49
E01003479,E01001326,1.411,1.502,,E01003479,1.411
E01003481,E01001330,1.441,1.443,,E01003481,1.441
E01003485,E01001332,1.464,1.441,,E01003485,1.464
E01003513,E01001325,1.48,1.44,,E01003513,1.48
E01003511,E01001327,1.464,1.424,,E01003511,1.464
E01003512,E01001328,1.457,1.445,,E01003512,1.457
E01003514,E01001329,1.44,1.443,,E01003514,1.44
E01003515,E01001331,1.472,1.477,,E01003515,1.472
E01003517,E01001258,1.475,1.405,,E01003517,1.475
E01003609,E01001262,1.49,1.417,,E01003609,1.49
E01003611,E01001263,1.447,1.448,,E01003611,1.447
E01033577,E01001264,1.491,1.4,,E01033577,1.491
E01033580,E01032743,1.424,1.486,,E01033580,1.424
E01033581,E01032744,1.448,1.316,,E01033581,1.448
E01033582,E01001276,1.482,1.331,,E01033582,1.482
E01004029,E01001277,1.395,1.227,,E01004029,1.395
E01004032,E01001278,1.331,1.357,,E01004032,1.331
E01004053,E01001280,1.231,1.323,,E01004053,1.231
E01004054,E01001218,1.22,1.441,,E01004054,1.22
E01004055,E01001260,1.209,1.329,,E01004055,1.209
E01003927,E01001261,1.273,1.403,,E01003927,1.273
E01003929,E01001268,1.299,1.293,,E01003929,1.299
E01003934,E01001209,1.353,0.929,,E01003934,1.353
E01003935,E01001211,1.434,1.097,,E01003935,1.434
E01003939,E01001279,1.455,1.211,,E01003939,1.455
E01003976,E01001281,1.423,0.989,,E01003976,1.423
E01004027,E01001217,1.427,1.257,,E01004027,1.427
E01032637,E01001259,1.119,1.325,,E01032637,1.119
E01032638,E01001291,0.891,1.199,,E01032638,0.891
E01032640,E01001292,1.101,1.359,,E01032640,1.101
E01032646,E01001293,1.314,1.061,,E01032646,1.314
E01032803,E01001196,1.33,1.402,,E01032803,1.33
E01032834,E01001239,1.048,1.449,,E01032834,1.048
E01003975,E01001246,1.45,1.398,,E01003975,1.45
E01003978,E01001247,1.411,1.384,,E01003978,1.411
E01004022,E01034026,1.372,1.279,,E01004022,1.372
E01004023,E01034027,1.346,1.399,,E01004023,1.346
E01004028,E01001210,1.392,1.462,,E01004028,1.392
E01003938,E01001282,1.468,1.304,,E01003938,1.468
E01003940,E01001283,1.478,1.372,,E01003940,1.478
E01003941,E01001285,1.382,1.371,,E01003941,1.382
E01003942,E01001286,1.525,1.346,,E01003942,1.525
E01003979,E01001287,1.42,1.492,,E01003979,1.42
E01003981,E01001294,1.455,0.924,,E01003981,1.455
E01004030,E01001295,1.292,0.983,,E01004030,1.292
E01004031,E01001296,1.462,0.967,,E01004031,1.462
E01004033,E01001297,1.413,0.874,,E01004033,1.413
E01004034,E01001298,1.371,1.06,,E01004034,1.371
E01004036,E01001204,1.464,1.238,,E01004036,1.464
E01004056,E01001205,1.279,1.417,,E01004056,1.279
E01004057,E01001206,1.302,1.46,,E01004057,1.302
E01004058,E01001207,1.162,1.068,,E01004058,1.162
E01004059,E01001208,1.264,0.985,,E01004059,1.264
E01004060,E01001212,1.445,1.115,,E01004060,1.445
E01003936,E01001224,1.285,0.911,,E01003936,1.285
E01003937,E01001226,1.463,1.182,,E01003937,1.463
E01003943,E01001227,1.503,1.032,,E01003943,1.503
E01032720,E01001228,1.53,1.098,,E01032720,1.53
E01003977,E01034028,1.372,1.313,,E01003977,1.372
E01004037,E01034029,1.433,1.291,,E01004037,1.433
E01004038,E01001195,1.489,1.317,,E01004038,1.489
E01004042,E01001197,1.26,1.315,,E01004042,1.26
E01004043,E01001198,1.072,1.052,,E01004043,1.072
E01003986,E01001199,1.436,1.277,,E01003986,1.436
E01003987,E01001284,1.374,1.153,,E01003987,1.374
E01004024,E01001288,1.359,1.197,,E01004024,1.359
E01004035,E01001289,1.412,1.056,,E01004035,1.412
E01003960,E01001290,1.424,1.16,,E01003960,1.424
E01003961,E01001213,1.451,0.907,,E01003961,1.451
E01003994,E01001214,1.476,0.848,,E01003994,1.476
E01032722,E01001215,1.422,0.819,,E01032722,1.422
E01003980,E01001216,1.404,0.921,,E01003980,1.404
E01004039,E01001361,1.51,0.796,,E01004039,1.51
E01004040,E01001240,1.409,1.35,,E01004040,1.409
E01004041,E01001241,1.474,1.372,,E01004041,1.474
E01004044,E01001242,1.447,1.256,,E01004044,1.447
E01003992,E01001243,1.437,1.469,,E01003992,1.437
E01003995,E01001244,1.389,1.449,,E01003995,1.389
E01003998,E01001245,1.279,1.218,,E01003998,1.279
E01003999,E01001200,1.452,1.057,,E01003999,1.452
E01032639,E01001201,1.416,1.004,,E01032639,1.416
E01032719,E01001202,1.511,1.418,,E01032719,1.511
E01003964,E01001203,1.494,1.295,,E01003964,1.494
E01003966,E01001351,1.5,1.226,,E01003966,1.5
E01003968,E01001359,1.419,0.606,,E01003968,1.419
E01003971,E01001360,1.4,0.507,,E01003971,1.4
E01003974,E01001362,1.43,0.906,,E01003974,1.43
E01003963,E01001363,1.468,0.727,,E01003963,1.468
E01003967,E01001364,1.428,1.034,,E01003967,1.428
E01003970,E01001365,1.411,0.803,,E01003970,1.411
E01003972,E01001231,1.436,1.182,,E01003972,1.436
E01003973,E01001234,1.436,1.199,,E01003973,1.436
E01003923,E01001350,1.442,1.129,,E01003923,1.442
E01003969,E01001352,1.467,1.102,,E01003969,1.467
E01003991,E01001354,1.432,1.175,,E01003991,1.432
E01003993,E01001249,1.409,1.431,,E01003993,1.409
E01003997,E01001250,1.456,1.314,,E01003997,1.456
E01003983,E01001255,1.37,1.007,,E01003983,1.37
E01003988,E01001383,1.442,1.061,,E01003988,1.442
E01003989,E01001388,1.383,1.307,,E01003989,1.383
E01003990,E01001389,1.401,1.173,,E01003990,1.401
E01004007,E01001219,1.352,1.411,,E01004007,1.352
E01003912,E01001220,1.335,1.418,,E01003912,1.335
E01004011,E01001334,1.316,1.221,,E01004011,1.316
E01004012,E01001337,1.42,1.428,,E01004012,1.42
E01004013,E01001338,1.413,1.064,,E01004013,1.413
E01004014,E01001339,1.343,1.345,,E01004014,1.343
E01003911,E01001340,1.46,1.45,,E01003911,1.46
E01003916,E01001251,1.472,1.084,,E01003916,1.472
E01003917,E01001252,1.43,1.229,,E01003917,1.43
E01003918,E01001253,1.406,1.062,,E01003918,1.406
E01003925,E01001254,1.428,0.952,,E01003925,1.428
E01003919,E01001229,1.466,1.303,,E01003919,1.466
E01003920,E01001230,1.385,0.962,,E01003920,1.385
E01003921,E01001232,1.465,1.245,,E01003921,1.465
E01003922,E01001233,1.409,1.161,,E01003922,1.409
E01003924,E01001237,1.403,0.881,,E01003924,1.403
E01003926,E01001386,1.415,0.763,,E01003926,1.415
E01004008,E01001303,1.394,0.853,,E01004008,1.394
E01004010,E01001382,1.462,0.857,,E01004010,1.462
E01004067,E01001384,1.419,1.073,,E01004067,1.419
E01032805,E01001385,1.453,0.909,,E01032805,1.453
E01003984,E01001387,1.447,0.969,,E01003984,1.447
E01004003,E01001353,1.414,1.202,,E01004003,1.414
E01004004,E01001355,1.419,1.117,,E01004004,1.419
E01004005,E01001356,1.402,1.457,,E01004005,1.402
E01004006,E01001357,1.406,1.325,,E01004006,1.406
E01003913,E01001358,1.351,1.384,,E01003913,1.351
E01003914,E01001375,1.377,0.734,,E01003914,1.377
E01003915,E01001377,1.413,0.774,,E01003915,1.413
E01004050,E01001379,1.213,0.783,,E01004050,1.213
E01004052,E01001381,1.307,1.128,,E01004052,1.307
E01004061,E01001248,1.364,1.178,,E01004061,1.364
E01004062,E01001299,1.445,0.943,,E01004062,1.445
E01004063,E01001305,1.353,0.924,,E01004063,1.353
E01004065,E01001306,1.294,0.939,,E01004065,1.294
E01004066,E01001333,1.441,1.054,,E01004066,1.441
E01004000,E01001335,1.422,1.063,,E01004000,1.422
E01004001,E01001336,1.406,1.111,,E01004001,1.406
E01004019,E01001369,1.404,0.848,,E01004019,1.404
E01004064,E01001300,1.433,0.89,,E01004064,1.433
E01004068,E01001301,1.394,1.084,,E01004068,1.394
E01004045,E01001302,1.358,0.913,,E01004045,1.358
E01004047,E01001304,1.487,1.035,,E01004047,1.487
E01004048,E01001374,1.392,0.939,,E01004048,1.392
E01004049,E01001376,1.486,1.218,,E01004049,1.486
E01004051,E01001380,1.19,0.901,,E01004051,1.19
E01003953,E01032572,1.3,1.016,,E01003953,1.3
E01003955,E01001225,1.309,1.282,,E01003955,1.309
E01004015,E01001223,1.23,1.05,,E01004015,1.23
E01004021,E01001273,1.167,1.302,,E01004021,1.167
E01004046,E01001275,1.347,1.2,,E01004046,1.347
E01004002,E01001274,1.327,1.365,,E01004002,1.327
E01004016,E01034030,1.313,1.106,,E01004016,1.313
E01004017,E01034031,1.15,1.106,,E01004017,1.15
E01004020,E01001236,1.387,1.098,,E01004020,1.387
E01003952,E01001235,1.201,1.152,,E01003952,1.201
E01003954,E01001373,1.246,0.936,,E01003954,1.246
E01003956,E01001367,1.186,0.813,,E01003956,1.186
E01004071,E01001372,1.251,0.944,,E01004071,1.251
