GSSCode,diversity2011
E01001880,1.225
E01001881,1.071
E01001882,1.152
E01001883,1.314
E01001884,1.378
E01001888,1.075
E01001891,1.257
E01001917,0.966
E01001918,1.068
E01001919,1.005
E01001879,1.262
E01001901,0.980
E01001902,1.098
E01001903,1.381
E01001920,1.269
E01001921,0.986
E01001922,0.978
E01001923,1.175
E01001924,0.864
E01001947,1.501
E01001948,1.111
E01001949,0.761
E01001950,0.852
E01001951,1.101
E01001953,1.298
E01001904,0.945
E01001905,0.927
E01001906,1.016
E01001907,0.926
E01001935,1.133
E01001939,1.362
E01032788,1.307
E01032789,1.502
E01032790,1.488
E01001915,0.842
E01001916,0.686
E01001926,0.817
E01001952,1.101
E01001925,0.961
E01001934,1.356
E01001937,0.997
E01001938,1.370
E01001969,1.406
E01001971,1.504
E01001974,1.383
E01001975,1.360
E01002036,1.455
E01002037,1.474
E01002039,1.448
E01002040,1.429
E01001962,1.279
E01001970,1.495
E01001972,1.419
E01001973,1.383
E01002090,1.504
E01002093,1.472
E01002096,1.502
E01002097,1.537
E01002091,1.491
E01002092,1.479
E01002094,1.512
E01002095,1.521
E01002098,1.335
E01002101,1.437
E01002102,1.450
E01002105,1.422
E01002099,1.504
E01002100,1.521
E01002103,1.486
E01002104,1.503
E01001963,1.023
E01001964,1.187
E01001965,1.007
E01001966,0.998
E01002027,1.449
E01002028,1.470
E01002032,1.491
E01002033,1.500
E01001976,1.467
E01001977,1.492
E01001978,1.491
E01001979,1.524
E01002074,1.462
E01002077,1.501
E01002079,1.509
E01002081,1.517
E01002082,1.428
E01002086,1.487
E01002088,1.434
E01002089,1.385
E01001967,1.002
E01001968,1.117
E01001996,0.938
E01001997,0.989
E01002075,1.495
E01002076,1.509
E01002078,1.487
E01002080,1.504
E01002026,1.501
E01002029,1.498
E01002030,1.478
E01002031,1.427
E01001991,1.041
E01001992,0.903
E01001993,0.775
E01001995,1.360
E01001980,1.498
E01001981,1.521
E01001982,1.451
E01001983,1.482
E01002083,1.434
E01002084,1.431
E01002085,1.486
E01002087,1.471
E01002014,1.266
E01002015,1.362
E01002018,1.249
E01033085,1.414
E01033086,1.497
E01002020,1.155
E01002022,0.901
E01002023,0.920
E01002025,0.955
E01002013,0.993
E01002019,0.845
E01002021,0.903
E01002024,1.059
E01001998,1.330
E01001999,1.386
E01002003,1.471
E01002004,1.399
E01002067,1.489
E01002069,1.494
E01002070,1.498
E01002073,1.499
E01002066,1.505
E01002068,1.450
E01002071,1.513
E01002072,1.497
E01002043,1.493
E01002045,1.508
E01002046,1.456
E01002049,1.511
E01002042,1.438
E01002044,1.396
E01002047,1.384
E01002048,1.476
E01002016,1.307
E01002017,1.316
E01002059,1.242
E01002060,1.039
E01002050,1.338
E01002051,1.488
E01002052,1.331
E01002055,1.280
E01001994,1.190
E01002008,1.011
E01002010,1.172
E01002011,1.170
E01002000,1.319
E01002001,1.336
E01002002,1.385
E01002058,1.435
E01002053,1.505
E01002054,1.482
E01002056,1.432
E01002057,1.426
E01001984,1.129
E01001985,0.823
E01001987,0.946
E01001989,1.086
E01001986,1.051
E01001988,1.024
E01001990,1.095
E01002062,1.236
E01002005,1.059
E01002006,1.054
E01002007,0.954
E01002009,0.908
E01002061,1.084
E01002063,1.274
E01002064,1.391
E01002065,1.212
E01002034,1.463
E01002038,1.479
E01002041,1.457
E01032575,1.458
E01002755,1.399
E01002756,1.260
E01002758,1.489
E01002804,1.450
E01002807,1.419
E01002811,1.423
E01002753,1.396
E01002754,1.102
E01002757,1.365
E01002759,1.175
E01002760,1.471
E01002772,1.336
E01002735,1.434
E01002805,1.296
E01002806,1.233
E01002808,1.282
E01002809,1.406
E01002810,1.414
E01002768,1.228
E01002770,1.305
E01002771,1.332
E01002773,1.448
E01002774,1.322
E01002732,1.495
E01002734,1.510
E01002736,1.497
E01002737,1.495
E01002751,1.502
E01002742,1.024
E01002747,1.196
E01002748,1.464
E01002749,1.398
E01033493,0.997
E01033494,1.154
E01002730,1.356
E01002731,1.391
E01002733,1.259
E01002763,1.325
E01002769,1.222
E01002785,1.178
E01002788,1.108
E01002789,0.929
E01002738,1.175
E01002741,1.360
E01002743,1.333
E01002744,1.127
E01002752,1.393
E01002764,1.325
E01002783,1.274
E01002784,1.377
E01002786,1.379
E01002787,1.410
E01002762,1.200
E01002767,1.379
E01033486,1.432
E01033487,1.436
E01033488,1.454
E01033491,1.353
E01033492,1.299
E01002777,1.159
E01002778,1.535
E01002779,1.232
E01002781,1.398
E01002782,1.485
E01002739,1.042
E01002740,0.982
E01002745,1.094
E01002795,1.378
E01002796,1.135
E01002716,1.415
E01002718,1.012
